Source,Target
AER,KZN
ASF,KZN
ASF,MRV
CEK,KZN
CEK,OVB
DME,KZN
DME,NBC
DME,UUA
EGO,KGD
EGO,KZN
GYD,NBC
KGD,EGO
KZN,AER
KZN,ASF
KZN,CEK
KZN,DME
KZN,EGO
KZN,LED
KZN,SVX
LED,KZN
LED,NBC
LED,UUA
MRV,ASF
NBC,DME
NBC,GYD
NBC,LED
NBC,SVX
NJC,SVX
NJC,UUA
NUX,SVX
OVB,CEK
OVB,SVX
SVX,KZN
SVX,NBC
SVX,NJC
SVX,NUX
SVX,OVB
UUA,DME
UUA,LED
UUA,NJC
BTK,IKT
BTK,OVB
CEK,OVB
HTA,IKT
IKT,BTK
IKT,HTA
IKT,ODO
IKT,OVB
IKT,UKX
IKT,ULK
IKT,YKS
MJZ,OVB
ODO,IKT
OVB,BTK
OVB,CEK
OVB,IKT
UKX,IKT
ULK,IKT
YKS,IKT
BDS,ZRH
BOD,ZRH
BRS,ZRH
GVA,LPA
LCA,ZRH
LPA,ZRH
TFS,GVA
ZRH,BDS
ZRH,BOD
ZRH,BRS
ZRH,LCA
ZRH,LPA
AJR,LYC
ARN,GEV
ARN,HAD
ARN,JKG
ARN,KRF
ARN,KSD
ARN,LYC
ARN,MHQ
ARN,OER
ARN,POR
ARN,TRF
ARN,VBY
ARN,VHM
ARN,VXO
GEV,ARN
GEV,KRF
HAD,ARN
HAD,JKG
HAD,VXO
HMV,VHM
JKG,ARN
JKG,HAD
KOK,POR
KRF,ARN
KRF,GEV
KSD,ARN
LYC,AJR
LYC,ARN
MHQ,ARN
MHQ,TKU
OER,ARN
OSL,VXO
POR,ARN
POR,KOK
TKU,MHQ
TRF,ARN
VBY,ARN
VHM,ARN
VHM,HMV
VXO,ARN
VXO,OSL
ACH,EBA
DRS,ZRH
DUS,FDH
EBA,ACH
EBA,FDH
EBA,MUC
EBA,ZRH
FDH,DUS
FDH,EBA
FDH,HAM
FDH,OLB
FDH,TXL
FDH,ZAD
FMM,NAP
GRZ,ZRH
HAM,FDH
MUC,EBA
NAP,FMM
OLB,FDH
SZG,ZRH
TXL,FDH
ZAD,FDH
ZRH,DRS
ZRH,EBA
ZRH,GRZ
ZRH,SZG
ASF,DME
ASF,LED
DME,ASF
DME,EGO
DME,TIV
EGO,DME
LED,ASF
TIV,DME
EYK,VKO
NUX,TJM
NUX,UFA
NUX,VKO
NYM,OVS
NYM,VKO
OVS,NYM
OVS,SVX
OVS,VKO
SVX,OVS
TJM,NUX
UCT,VKO
UFA,NUX
VKO,EYK
VKO,NUX
VKO,NYM
VKO,OVS
VKO,UCT
AYT,ZRH
PRN,ZRH
SKP,ZRH
ZRH,AYT
ZRH,PRN
ZRH,SKP
AGP,STR
AGP,TXL
AMS,HAM
AOI,DUS
AOI,TXL
ARN,CGN
ARN,DUS
ARN,HAM
ATH,CGN
ATH,STR
AYT,CGN
BCN,CGN
BCN,DUS
BCN,HAJ
BCN,HAM
BCN,STR
BDS,STR
BEG,STR
BGO,HAM
BHX,HAM
BHX,TXL
BIA,CGN
BIA,DUS
BIA,HAM
BIA,STR
BIA,TXL
BIO,DUS
BIO,STR
BLQ,CGN
BLQ,TXL
BRE,STR
BRI,CGN
BRI,DUS
BRI,STR
BRU,STR
BSL,DUS
BUD,CGN
BUD,HAM
BUD,STR
CAG,CGN
CAG,DUS
CAG,STR
CDG,HAM
CFU,CGN
CFU,DRS
CFU,STR
CGN,ARN
CGN,ATH
CGN,AYT
CGN,BCN
CGN,BIA
CGN,BLQ
CGN,BRI
CGN,BUD
CGN,CAG
CGN,CFU
CGN,CLY
CGN,CTA
CGN,DBV
CGN,DRS
CGN,DUB
CGN,EDI
CGN,FAO
CGN,FCO
CGN,FDH
CGN,HAM
CGN,HDF
CGN,HER
CGN,IBZ
CGN,JMK
CGN,JTR
CGN,KGS
CGN,KLU
CGN,KVA
CGN,LEJ
CGN,LHR
CGN,LIS
CGN,LPA
CGN,MAN
CGN,MXP
CGN,NAP
CGN,NCE
CGN,OLB
CGN,PMI
CGN,PMO
CGN,PRG
CGN,PSA
CGN,PUY
CGN,RHO
CGN,RJK
CGN,RLG
CGN,SAW
CGN,SJJ
CGN,SKG
CGN,SPU
CGN,STN
CGN,SUF
CGN,SZG
CGN,TXL
CGN,VCE
CGN,VIE
CGN,VRN
CGN,WAW
CGN,XRY
CGN,ZAD
CGN,ZAG
CGN,ZRH
CLY,CGN
CTA,CGN
CTA,DUS
CTA,HAJ
CTA,HAM
CTA,STR
CTA,TXL
CWL,DUS
DBV,CGN
DBV,DUS
DBV,HAJ
DBV,HAM
DBV,STR
DBV,TXL
DRS,CFU
DRS,CGN
