Label,city,country,Id,ICAO,latitude,longitude
Akureyri Logic.Airport,Akureyri,Iceland,AEY,BIAR,65.66000366210939,-18.07270050048828
Egilsstaðir Logic.Airport,Egilsstadir,Iceland,EGS,BIEG,65.28330230712889,-14.401399612426758
Hornafjörður Logic.Airport,Hofn,Iceland,HFN,BIHN,64.295601,-15.2272
Húsavík Logic.Airport,Husavik,Iceland,HZK,BIHU,65.952301,-17.426001
Ísafjörður Logic.Airport,Isafjordur,Iceland,IFJ,BIIS,66.05809783935547,-23.13529968261719
Keflavik International Logic.Airport,Keflavik,Iceland,KEF,BIKF,63.985000610352,-22.605600357055998
Patreksfjörður Logic.Airport,Patreksfjordur,Iceland,PFJ,BIPA,65.555801,-23.965
Reykjavik Logic.Airport,Reykjavik,Iceland,RKV,BIRK,64.1299972534,-21.9405994415
Siglufjörður Logic.Airport,Siglufjordur,Iceland,SIJ,BISI,66.133301,-18.9167
Vestmannaeyjar Logic.Airport,Vestmannaeyjar,Iceland,VEY,BIVM,63.42430114746094,-20.27890014648437
Antwerp International Logic.Airport (Deurne),Antwerp,Belgium,ANR,EBAW,51.189399719200004,4.46027994156
Brussels Logic.Airport,Brussels,Belgium,BRU,EBBR,50.9014015198,4.48443984985
Brussels South Charleroi Logic.Airport,Charleroi,Belgium,CRL,EBCI,50.4592018127,4.453820228580001
Wevelgem Logic.Airport,Kortrijk-vevelgem,Belgium,QKT,EBKT,50.817199707,3.2047200202900004
Liège Logic.Airport,Liege,Belgium,LGG,EBLG,50.63740158081055,5.443220138549805
Ostend-Bruges International Logic.Airport,Ostend,Belgium,OST,EBOS,51.1988983154,2.8622200489
Altenburg-Nobitz Logic.Airport,Altenburg,Germany,AOC,EDAC,50.9819450378418,12.506388664245605
Barth Logic.Airport,Barth,Germany,BBH,EDBH,54.338253,12.710515
Berlin-Schönefeld International Logic.Airport,Berlin,Germany,SXF,EDDB,52.38000106811499,13.522500038147
Dresden Logic.Airport,Dresden,Germany,DRS,EDDC,51.1328010559082,13.767200469970705
Erfurt Logic.Airport,Erfurt,Germany,ERF,EDDE,50.97980117797852,10.958100318908693
Frankfurt am Main International Logic.Airport,Frankfurt,Germany,FRA,EDDF,50.033333299999995,8.5705556
Münster Osnabrück Logic.Airport,Munster,Germany,FMO,EDDG,52.134601593,7.68483018875
Hamburg Logic.Airport,Hamburg,Germany,HAM,EDDH,53.630401611328004,9.988229751586902
Berlin-Tempelhof International Logic.Airport,Berlin,Germany,THF,EDDI,52.472999572753906,13.403900146484375
Cologne Bonn Logic.Airport,Cologne,Germany,CGN,EDDK,50.865898132299996,7.1427397728
Düsseldorf International Logic.Airport,Duesseldorf,Germany,DUS,EDDL,51.28950119018555,6.766779899597168
Munich International Logic.Airport,Munich,Germany,MUC,EDDM,48.353801727295,11.786100387572999
Nuremberg Logic.Airport,Nuernberg,Germany,NUE,EDDN,49.498699,11.078055599999999
Leipzig Halle Logic.Airport,Leipzig,Germany,LEJ,EDDP,51.423888899999994,12.236388900000001
Saarbrücken Logic.Airport,Saarbruecken,Germany,SCN,EDDR,49.2145996094,7.10950994492
Stuttgart Logic.Airport,Stuttgart,Germany,STR,EDDS,48.6898994446,9.22196006775
Berlin-Tegel International Logic.Airport,Berlin,Germany,TXL,EDDT,52.559700012200004,13.287699699400001
Hannover Logic.Airport,Hannover,Germany,HAJ,EDDV,52.461101532,9.68507957458
Bremen Logic.Airport,Bremen,Germany,BRE,EDDW,53.0475006104,8.78666973114
Frankfurt-Egelsbach Logic.Airport,Egelsbach,Germany,QEF,EDFE,49.959999084472656,8.645833015441895
Frankfurt-Hahn Logic.Airport,Hahn,Germany,HHN,EDFH,49.948699951200005,7.263889789579999
Mannheim-City Logic.Airport,Mannheim,Germany,MHG,EDFM,49.47305679321289,8.514166831970215
Hamburg-Finkenwerder Logic.Airport,Hamburg,Germany,XFW,EDHI,53.5352783203125,9.835556030273438
Kiel-Holtenau Logic.Airport,Kiel,Germany,KEL,EDHK,54.37944412231445,10.145277976989746
Lübeck Blankensee Logic.Airport,Luebeck,Germany,LBC,EDHL,53.805400848400005,10.7192001343
Arnsberg-Menden Logic.Airport,Arnsberg,Germany,ZCA,EDLA,51.48389053344727,7.8983330726623535
Essen Mulheim Logic.Airport,Essen,Germany,ESS,EDLE,51.40230178833008,6.9373297691345215
Mönchengladbach Logic.Airport,Moenchengladbach,Germany,MGL,EDLN,51.23027801513672,6.504444122314452
Paderborn Lippstadt Logic.Airport,Paderborn,Germany,PAD,EDLP,51.614101409899995,8.616319656369999
Dortmund Logic.Airport,Dortmund,Germany,DTM,EDLW,51.518299102799986,7.61223983765
Augsburg Logic.Airport,Augsburg,Germany,AGB,EDMA,48.425278000000006,10.931667
Oberpfaffenhofen Logic.Airport,Oberpfaffenhofen,Germany,OBF,EDMO,48.08140182495117,11.283100128173828
Straubing Logic.Airport,Straubing,Germany,RBM,EDMS,48.90083312988281,12.516667366027832
Friedrichshafen Logic.Airport,Friedrichshafen,Germany,FDH,EDNY,47.671298980699994,9.511489868160002
Schwerin Parchim Logic.Airport,Parchim,Germany,SZW,EDOP,53.426998,11.7834
Stendal-Borstel Logic.Airport,Stendal,Germany,ZSN,EDOV,52.62888717651367,11.818611145019533
Bayreuth Logic.Airport,Bayreuth,Germany,BYU,EDQD,49.98500061035156,11.640000343322756
Hof-Plauen Logic.Airport,Hof,Germany,HOQ,EDQM,50.288612365722656,11.856389045715332
Koblenz-Winningen Logic.Airport,Koblenz,Germany,ZNV,EDRK,50.32555770874024,7.528611183166504
Trier-Föhren Logic.Airport,Trier,Germany,ZQF,EDRT,49.86388778686523,6.7874999046325675
Speyer Logic.Airport,Speyer,Germany,ZQC,EDRY,49.30472183227539,8.451389312744139
Zweibrücken Logic.Airport,Zweibruecken,Germany,ZQW,EDRZ,49.20940017700195,7.400559902191162
Donaueschingen-Villingen Logic.Airport,Donaueschingen,Germany,ZQL,EDTD,47.97333145139999,8.52222156525
Braunschweig Wolfsburg Logic.Airport,Braunschweig,Germany,BWE,EDVE,52.319199,10.5561
Kassel-Calden Logic.Airport,Kassel,Germany,KSF,EDVK,51.417273,9.384967
Bremerhaven Logic.Airport,Bremerhaven,Germany,BRV,EDWB,53.50694300000001,8.572778
Emden Logic.Airport,Emden,Germany,EME,EDWE,53.39110946655274,7.227499961853027
Wilhelmshaven-Mariensiel Logic.Airport,Wilhelmshaven,Germany,WVN,EDWI,53.502220153808594,8.05222225189209
Borkum Logic.Airport,Borkum,Germany,BMK,EDWR,53.596389770500004,6.70916700363
Norderney Logic.Airport,Norderney,Germany,NRD,EDWY,53.70694351196289,7.230000019073486
Flensburg-Schäferhaus Logic.Airport,Flensburg,Germany,FLF,EDXF,54.77333450317383,9.378889083862305
Westerland Sylt Logic.Airport,Westerland,Germany,GWT,EDXW,54.9132003784,8.34047031403
Kärdla Logic.Airport,Kardla,Estonia,KDL,EEKA,58.99079895019531,22.830699920654297
Kuressaare Logic.Airport,Kuressaare,Estonia,URE,EEKE,58.22990036010742,22.50950050354004
Pärnu Logic.Airport,Parnu,Estonia,EPU,EEPU,58.41899871826172,24.47279930114746
Lennart Meri Tallinn Logic.Airport,Tallinn-ulemiste International,Estonia,TLL,EETN,59.41329956049999,24.8327999115
Tartu Logic.Airport,Tartu,Estonia,TAY,EETU,58.30749893189999,26.6903991699
Enontekio Logic.Airport,Enontekio,Finland,ENF,EFET,68.36260223388699,23.424299240112
Halli Logic.Airport,Halli,Finland,KEV,EFHA,61.856039,24.786686
Helsinki Malmi Logic.Airport,Helsinki,Finland,HEM,EFHF,60.254600524902344,25.04280090332031
Helsinki Vantaa Logic.Airport,Helsinki,Finland,HEL,EFHK,60.317199707031,24.963300704956
Hyvinkää Airfield,Hyvinkaa,Finland,HYV,EFHV,60.6543998718,24.881099700900002
Ivalo Logic.Airport,Ivalo,Finland,IVL,EFIV,68.607299804688,27.405300140380998
Joensuu Logic.Airport,Joensuu,Finland,JOE,EFJO,62.662899017334006,29.607500076294
Jyvaskyla Logic.Airport,Jyvaskyla,Finland,JYV,EFJY,62.399501800537,25.678300857544
